Microsoft Dynamics 365 Business Central Developer ,de facto Infotech   ,"Sahibzada Ajit Singh Nagar, Punjab, India" ,https://in.linkedin.com/jobs/view/microsoft-dynamics-365-business-central-developer-at-de-facto-infotech-3809619705?refId=r2DOAjvYXKKSCk4vBWuSYQ%3D%3D&trackingId=B9siF7DBRk9k2p9KoN7kBw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Solutions Consultant                     ,Potentiam Ltd       ,"Bengaluru, Karnataka, India"               ,https://in.linkedin.com/jobs/view/business-solutions-consultant-at-potentiam-ltd-3813704215?refId=r2DOAjvYXKKSCk4vBWuSYQ%3D%3D&trackingId=7dn08PIaTaSVYlhlB5n%2Bbw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
GN - SONG - C&S - MS Dynamics - 09                ,Accenture in India  ,"Bengaluru, Karnataka, India"               ,https://in.linkedin.com/jobs/view/gn-song-c-s-ms-dynamics-09-at-accenture-in-india-3812756765?refId=r2DOAjvYXKKSCk4vBWuSYQ%3D%3D&trackingId=cH%2BpVqdv4QydGtI6i4b32Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Go Live Analyst                                   ,Avalara             ,"Pune, Maharashtra, India"                  ,https://in.linkedin.com/jobs/view/go-live-analyst-at-avalara-3782022908?refId=r2DOAjvYXKKSCk4vBWuSYQ%3D%3D&trackingId=8%2Bzka85eay3mnV%2Fdstc7ig%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Developer                                ,Hansen Technologies ,"Pune, Maharashtra, India"                  ,https://in.linkedin.com/jobs/view/software-developer-at-hansen-technologies-3812188750?refId=r2DOAjvYXKKSCk4vBWuSYQ%3D%3D&trackingId=%2BDyAfQZaxPwshSKtySC6fw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Microsoft Dynamics 365 Business Central Developer ,de facto Infotech   ,"Sahibzada Ajit Singh Nagar, Punjab, India" ,https://in.linkedin.com/jobs/view/microsoft-dynamics-365-business-central-developer-at-de-facto-infotech-3809619705?refId=FGzgb4vKuUm%2FtQW3Z4G3Uw%3D%3D&trackingId=xozejov%2BOQOjHVlM%2FHQvrw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Solutions Consultant                     ,Potentiam Ltd       ,"Bengaluru, Karnataka, India"               ,https://in.linkedin.com/jobs/view/business-solutions-consultant-at-potentiam-ltd-3813704215?refId=FGzgb4vKuUm%2FtQW3Z4G3Uw%3D%3D&trackingId=b6vh5eF9o9B%2B7Md7vKcUAQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
GN - SONG - C&S - MS Dynamics - 09                ,Accenture in India  ,"Bengaluru, Karnataka, India"               ,https://in.linkedin.com/jobs/view/gn-song-c-s-ms-dynamics-09-at-accenture-in-india-3812756765?refId=FGzgb4vKuUm%2FtQW3Z4G3Uw%3D%3D&trackingId=NNfmPcKNsTyJcEeDSj06IQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Developer                                ,Hansen Technologies ,"Pune, Maharashtra, India"                  ,https://in.linkedin.com/jobs/view/software-developer-at-hansen-technologies-3812188750?refId=FGzgb4vKuUm%2FtQW3Z4G3Uw%3D%3D&trackingId=%2BMMbJxF1jDn1qcarmP6Nbw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
